format version:	1.3						
date:	11/7/16						
default chronostrat:	UNESCO						
age units:	Ma						
chart title:	TimeScale Creator GTS2016 chart						
							
							
Standard Chronostratigraphy	:	Eon	Era	Sub-Era	Period	Sub-Period	Epoch
	Maastrichtian	72.05		"Cobban et al., 2006 ""However, in regard to the sequence at Tercis, France, which has the Global Standard Stratotype Section and Point for the Campanian-Maastrichtian Stage boundary, the base of the Maastrichtian should be placed high in the Baculites eliasi Zone (Walaszczyk et al., 2002). The latter placement of the boundary is accepted ...[NOTE: Their summary table had as Top, hence base of Baculites baculus], although strontium isotope stratigraphy would have it a little lower within the Baculites jenseni Zone (McAuther et al., 1992).""[NOTE: No, Sr would put higher -- see below.]  Odin (2001) considered base-Maastrichtian GSSP to project to near base of N.Amer. B. jenseni ammonite zone.  Cobban's zonation of 1993 had estimated base-Campanian (prior to setting of GSSP) was approximately at base of B. eliasi ammonite zone.  [GTS04: ""The last occurrence of the calcareous nannofossil Quadrum trifidum at the top of belemnite B. obtusa zone in NW Germany has a projected age of 69.9 Ma [=mid-B. grandis N.Amer. ammonite zone], based on strontium-isotope curve calibrations to dated-bentonite sections in the U.S. western interior (McArthur, 1993, 1994).  Therefore, if this highest occurrence of Q. trifidum is synchronous with its position at 16 m above the GSSP at Tercis, then the estimated sediment accumulation rate of 25 m/myr in this Tercis interval indicates that the underling GSSP level is 0.75 myr prior to this age (Odin, 2001), or at approximately 70.6 Ma.  This radiometric age is within the Baculites baculus or overlying Baculites grandis ammonoid zone of the U.S. western interior (McArthur et al., 1993).""] "	242/250/140		
	Campanian	84.19	dashed	"Base-Campanian is the extinction of crinoid Marsupites testudinarius (provisional boundary marker).  For this scale, we have assumed equivalence with base of S. leei III ammonite Zone of Western Interior."	230/244/127		
	Santonian	86.26	dashed	"Base of the Santonian coincides lowest occurrence of Inoceramid bivalve Cladoceramus undulatoplicatus. Age of base-Santonian is extrapolated as 86.26 ±0.45 Ma by Siewert et al., 2011.  Base-Santonian is lowest occurrence of the widespread inoceramid bivalve Cladoceramus undulatoplicatus.  Following chart in Cobban et al. (2006), this level is equated to the base of the C. saxitonianus ammonite Zone of Western Interior; but Gale (chart to J.Ogg, Aug 2011) based on  (Walaszczyk and Cobban, 2007) projects as uppermost S. depressus Zone; therefore base of Zone was put as 86.2 in GTS2012.  Revised ages (Sageman et al., 2014) for base-C. saxitonianus ash-bed is 85.84 ±0.24; although their summary diagram with cycle-strat implies it is only about 1/4th to 1/3rd of a 405-kyr cycle above base-Santonian 86.5 Ma (inoceramid) => that offset (ca. 0.15myr) is used here.  Cycle-strat duration from base-Santonian to next zone = 0.70 myr (Siewert et al., 2011); but revsied in Sageman et al. (2014) as about 0.3 with assumption that the thickness is expanded by influx of terrigenous."	217/239/116		
	Coniacian	89.75	dashed	"The base of the Coniacian Stage is the lowest occurrence of the Cremnoceramus rotundatus (sensu Tr_ger non Fiege) inoceramid bivalve.  In GTS04, this inoceramid datum had been considered to be slightly older (suggested by U. Kaplan, in northern Germany) than the lowest occurrence of ammonite Forresteria petrocoriensis, which had a spline-fit age of 89.07 Ma.  Therefore, the base-Coniacian had been estimated as 89.3 Ma.  However, it is now known from inoceramid-ammonite calibration studies that the onset of the F. petrocoriensis zone (or Foresteria peruuana zone) is in late Turonian, and the Coniacian as defined above begins approximately at the base of the overlying Scaphites preventricosus ammonite zone (age of 88.58 Ma in GTS04; which had been used as the Early/Middle Coniacian boundary level !!).  Other than the inoceramid datum and associated base-Coniacian GSSP age, this correction does not alter any of the assigned ages for any other biostratigraphic or other stratigraphic events.   [NOTE: 88.58 rounds off to 88.6]"	204/233/104		
	Turonian	93.9		"The base of the Turonian Stage is at the base of Bed 86 of the Bridge Creek Limestone Member, west of Pueblo, Colorado, USA. The GSSP coincides with the first occurrence of the ammonite Watinoceras devonense, is in the middle of a global positive excursion in carbon 13 isotopes, and is bracketed by widespread bentonites that have yielded age of 93.79 to 93.96 Ma; and cycle-extrapolated as 93.90 ±0.15 myr (Meyers et al., AGU, 2010; and submitted to Geology, 2011).  Cycle-strat duration = 0.35 myr (Meyers et al., EPSL, 2011 in press); contains bentonite dated as 93.79 ±0.26 Ma in upper part of this zone."	191/227/93		
	Cenomanian	100.5		"Base-Cenomanian is base of foraminifer Rotalipora globotruncanoides, which is 6m lower than base of M. mantelli ammonite Zone at the GSSP section.  The uppermost part of the N. caractanense Subzone (basal Subzone of Cenomanian) is ~99.8 ±0.37 Ma (Obradovich et al., 2002), and cycle stratigraphy scaling of its duration (0.44 myr) = 100.25 Ma, and a slight 0.25 offset to the GSSP marker below implies the base of the Cenomanian is 100.5 ±0.4 Ma."	179/222/83		
	Albian	113.14	dashed	"Current GSSP proposal (Kennedy et al., 2014) is FAD of planktonic foraminifer Microhedbergella renilaevis in middle of Kilian organic-rich layer in SE France and associated negative excursion in C13.  Working definition for GTS2012 was the first appearance datum (FAD) of Praediscosphaera columnata (subcircular) following usage in Piobbico core and U-Pb dated (113 Ma) event in Boreal realm (Germany).   GSSP not yet decided."	204/234/151		
	Aptian	126.3		Current working definition for Base of Aptian is base of polarity chron M0r	191/228/138		
	Barremian	130.77		Base of Barremian (base of Spitidiscus hugii ammonite zone) assigned here as Chron M5n(0.8)	179/223/127		
	Hauterivian	134.69		"The base of the Hauterivian (base of Acanthodiscus radiatus ammonite zone of Tethyan realm) is considered to be near the beginning of chron M10n (e.g., Weissert and others), as supported by later studies (e.g, McArthur et al., 2007, Palaeo-3), and consistent with the cycle-scaled duration of the Valanginian.  Assigned as base M10n.  In GTS04, the base of the Hauterivian Stage has been assigned, based on the reported occurrence of its earliest ammonites, to near the beginning of magnetic polarity chron M11n (Channell et al., 1995, EPSL).  However, the GTS04 authors and reviewers were not aware that this published correlation had been revised.  In GTS04; the Base of Hauterivian was assigned as base of Chron M11n.  Earlier version -- Valanginian/Hauterivian boundary is within M10Nr or within the adjacent normal-polarity chrons; tentatively assigned to middle of M10Nr."	166/217/117		
	Valanginian	139.39		"Base of Valanginian (base of Tirnovella pertransiens ammonite zone in Tethyan Realm) is assigned here as Chron M14r(0.3).  T. otopeta, formerly basal Valanginian, is now assigned to Berriasian.  Note that the Berriasian is much shorter in duration in GTS2004, even with this transfer of an ammonite zone.  This reflects the postulated faster spreading model (and dropping of U-Pb date of 137 reported for uppermost Berriasian), hence Pacific anomalies represent shorter time."	153/211/106		
	Berriasian	145.01	dotted	"Not yet defined.  Higher option is Base of Chron M18r for GTS2012; but may eventually be assigned to a calpionellid, nannofossil or ammonite datum."	140/205/96		
	 - 	145.73		Voting by Jur-Cret Boundary Working Group (June2016) was to use the Base of Calp. alpina zone (Calp. B)	140/205/96		
	Tithonian	152.06	dashed	"Not yet defined.  Set as Base of Chron M22An, which is nearly coeval with base of H. hybonotum ammonite zone at Crussol Mountain, France"	217/241/247		
	Kimmeridgian	157.25	dashed	"Base of P. baylei ammonite zone (Isle of Skye), using lowest occurrence of P. flodigarriensis ammonite (not yet ratified) which is essentially coeval with Base of Chron M26r at the GSSP."	204/236/244		
	Oxfordian	163.1	dashed	"Base of Q. mariae ammonite zone.  GSSP is not yet decided, but this level at Redcliff (England) candidate has been correlated to 25% up in Chron M37n.1n of Deep-tow extension to M-Sequence."	191/231/241		
	Callovian	166.07	dashed	"Base of B. bullatus ammonite zone.  GSSP is not yet decided.  In magnetostratigraphy from the Albstadt-Pfeffingen GSSP candidate (Swabia, Germany), this level is the base of a brief normal-polarity zone, which is interpreted to be the base of marine magnetic anomaly M39n.3n in the Deep-Tow extension to M-Sequence (using mid-depth projection)"	191/231/229		
	Bathonian	168.28		"Base of Z. zigzag  ammonite zone at Ravin du Bès-Bas Auran (France).  In magnetostratigraphy of Spain, this level is the base of a normal-polarity zone, which is interpreted to be the base of marine magnetic anomaly M42n.1n in the Deep-Tow extension to M-Sequence (using mid-depth projection)"	179/226/227		
	Bajocian	170.3		"Base of H. discites ammonite zone at Cabo Mondego (Portugal).  In combined magnetostratigraphy of Spain and Switzerland, this level is in the uppermost part (ca. 80% up) of a reversed-polarity-dominated zone, which is interpreted to be marine magnetic anomaly M44n.1r in the Deep-Tow extension to M-Sequence (using mid-depth projection)"	166/221/224		
	Aalenian	174.15		Base of L. opalinum ammonite zone at Fuentelsaz (Spain).  	154/217/221		
	Toarcian	183.7		Base of D. tenuicostatum ammonite zone; but GSSP not yet decided (probably in either Portugal or Spain)	153/206/227		
	Pliensbachian	191.36		Base of U. jamesoni ammonite zone at Robin Hood's Bay (England)  	128/197/221		
	Sinemurian	199.4		Base of A. bucklandi ammonite zone at East Quantoxhead (England).  	103/188/216		
	Hettangian	201.36		"Base of Jurassic (base of Psiloceras spelae, by definition).  Age of Schoene et al. (2010) recalculated by them in Wotzlaw et al. (2015) as 201.36 _ 0.17 Ma."	78/179/211		
	Rhaetian	205.81	dotted	" Rhaetian (base at Italian GSSP candidate) = DOTTED -- Misikella posthernsteini (sensu stricto in taxonomy of Marun et al., 2015) is the proposed marker for base-Rhaetian Pignola-Abriola (southern Italy) GSSP canddiate is the FAD of Misikella posthernsteini (sensu stricto) as recognized and calibrated by Maron et al. (2015) as being in the lower part of reversed-polarity zone they suggests is about 20% up in Chron E20r.2r of Newark polarity scale.  This is preceded by transitional forms of Miskella that call M.posthernsteini sensu lato (hence a lower FAD at the Austrian GSSP candidate that uses that level)."	227/185/219		
	 - 	209.56	dotted	"Rhaetian (base at Austrian GSSP candidate) = DOTTED -- Misikella posthernsteini (sensu lato in taxonomy of Marun et al., 2015) is the proposed marker for base of Rhaetian at Austrian GSSP candidate at Steinbergkogel (e.g., Krystyn et al. 2007).  Magstrat for this FAD calibrated as 95% up in E17n under OptionA of Houslow-Muttoni (similar to Husing-Deened et al; but one reversed-zone higher).  However, Maron et al. (2015) consider this Miskella form to be transitional to M.posthernsteini sensu-stricto; therefore term it ""sensu lato"".  Concise GTS -- FAD was in middle of ""B"" Reversed-magzone (Gallet et al., 2007); which they indicate is middle of E21r.1r = age for base Rhaetian. Tethyan M.posthernsteini zone subdivided in Kozur'03 into upper M.koessensis and lower M.hernsteini-M.posthernsteini subzones at level corresponding to base of Vand. stuerzenbaumi ammonite subzone."	227/185/219		
	Norian	228.45	dashed	"EARLY Norian.  DASHED.  Assigned here as base of Tethyan Guembelites jandianus ammonoid zone, pending decision on GSSP.  Used proposed Norian GSSP at Pizzo Mondello (Italy), where base of Normal PM5n at GSSP) using Short Tuvalian option, is correlated to Base E7n; and assumed that this age which partly uses conodont markers also applied to the ammonoid zone.  However, Muttoni et al. (e.g., in Muttoni et al., 2014, or Maron et al., 2015) prefer a correlation to Base E8n (assuming Newark pattern failed to resolve a thin reversed-polarity zone in upper PM5n, etc. => about 1 myr younger.  Kozur uses S. kerri (N.Amer.) for this ""standard zone""."	214/170/211		
	Carnian	237		"EARLY CARNIAN - BUT:  ""Cordevolian"" is a controversial additional subdivision of Early Carnian that equates to D. canadensis and Trachyceras aon Ammonoid Zones.  Bachmann (Aug2015 to J.Ogg): ""As pointed out by KOZUR (2003), the priority subdivision of the Carnian into the Cordevolian, Julian and Tuvalian substages (MOJSOSIVICS et al. 1895) should be preserved. Lumping the original Cordevolian and Julian into a new extended Julian substage (e. g. KRYSTYN 1974) violates the priority without convincing faunistic reason. Very characteristic for the Cordevolian is the co-occurrence of Ladinian and Carnian elements in all fossil groups, whereas the Ladinian elements disappear around the base of the Julian. The high percentage of Ladinian elements, in addition to the first occurrence of many Carnian forms, is the reason why the Cordevolian was for a long time considered to represent the youngest substage of the Ladinian.  The Julian begins with the Trachyceras aonoides Zone, which is characterised by both the disappearance of the last Ladinian holdovers and by the appearance of numerous new Carnian or Carnian-Norian types in all stratigraphically important fossil groups, especially well recognisable in radiolarian faunas. """	201/155/203		
	Ladinian	241.5		EARLY Ladinian substage is Fassanian in traditional usage in Tethyan region.	201/131/191		
	Anisian	246.8	dashed	"EARLY Anisian is traditionally the  Aegean substage that begins in the Tethyan realm with the Japonites welteri Ammonoid zone.  But, base of Conodont Ch. timorensis is used here for base of Anisian, hence of Aegean."	188/117/183		
	Olenekian	249.81	dashed	"Base of Olenekian (base of Smithian substage) -- Assumed coincidence of Chaohu conodont marker for GSSP candidate and Tethyan ammonite zone usage (base of Flemingite, which is nearly same level at Chaohu).  At Chaohu GSSP candidate, this is just below (0.05 used here) the base of Hounslow-Muttoni magnetozone LT3n (CG6n of Szurlies 2007) => base-Induan (as used at Chaohu) would be base of Germanic cycle s3.3; Chaohu 405kyr cycle-strat suggests the Magzone is about 20% up in ""e5.2"" of Mingsong'a band-pass version for 100kyr cycles (Mingsong Li to JOgg Aug2015), rather than 50% up (Szurlies cycles); but this assumed constant rates within 405kyr cycles; plus bases of Szurlies cycles are defined differently than Chaohu cycles.  Decided to stay with Szurlies 100kyr scale as standard for the moment."	176/81/165		
	Induan	251.9		"FAD of H. parvus = Base of Triassic, by definition at Meishan GSSP boundary with dating = 251.90 Ma = FIXED age (Burgess et al., 2014).  In GTS2012, was 252.16 Ma (from Shen et al., 2010; Bowring ages in Lopingian paper). VERY brief.   Kozur (2003) estimates duration of H. parvus zone to be 0.1 myr, which is fairly consistent with Sweet's scaling."	164/70/159		
	Changhsingian	254.2		Base Changhsingian is coeval with FAD of Clarkina wangi conodont	252/192/178		
	Wuchiapingian	259.81		Base Wuchiapingian is coeval with FAD of Clarkina postbitteri postbitteri conodont	252/180/162		
	Capitanian	265.14		Base Capitanian is coeval with FAD of Jinogondolella postserrata conodont	251/154/133		
	Wordian	268.8		Base Wordian is coeval with FAD of Jinogondolella aserrata conodont	251/141/118		
	Roadian	272.3		Base Roadian is coeval with FAD of Jinogondolella nankingensis conodont	251/128/105		
	Kungurian	282	dashed	Base Kungurian is proposed to be coeval with FAD of Neostreptognathodus pnevi conodont	227/135/118		
	Artinskian	290.06	dashed	Base Artinskian is proposed to be coeval with FAD of Sweetognathus whitei conodont	227/123/104		
	Sakmarian	295.5	dashed	Base Sakmarian is proposed to be coeval with FAD of Sweetognathus merrilli conodont	227/111/92		
	Asselian	298.88		Base PERMIAN is coeval with FAD of Streptognathodus isolatus conodont	227/99/80		
	Gzhelian	303.4	dashed	"Working group definition is lowest occurrence of Idiognathodus simulator sensu stricto; rather than the Near lowest occurrences of the fusulinids Daixina, Jigulites and Rugosofusulina used in GTS2004.  Estimate is based on cycle-strat (Heckel, pers. commun., Dec07), relative to base-Permian, which is consistent with U-Pb dating by Mark Schmitz (presented at Nanjing Perm-Carb congress, June 07)"	204/212/199		
	Kasimovian	306.65	dashed	"The current preferred definition by working group is the base of the Protriticites pseudomontiparus-Obsoletes obsoletus conodont zone (equals base of Swadelina neoshoensis zone) .  GTS04 had used base of Obsoletes obsoletes and Protriticites pseudomontiparus fusulinid zone.   Estimate is based on cycle-strat (Heckel, pers. commun., Dec07) = MFS of Farlington cycle (Lower Suvorova) relative to base-Permian."	191/208/197		
	Moscovian	314.6	dashed		179/203/185		
	Bashkirian	323.23			153/194/181		
	Serpukhovian	330.92	dashed	"In GTS04, the base of the Serpukhovian Stage had been assigned an age of 326 Ma based on a tentative working definition of the first appearance of the conodont Lochriea cruciformis.  The boundary working group decided that the first evolutionary appearance of the conodont Lochriea ziegleri in the lineage Lochriea nodosa - Lochriea ziegleri presents the best potential for an international definition of the boundary."	191/194/107		
	Visean	346.73		"Assigned as base of Foram Zone ""Eoparastaffella simplex"" (Base-Visean working group of Devuyst et al., 2007 Carb-Perm Congress report)."	166/185/108		
	Tournaisian	358.94	dashed		140/176/108		
	Famennian	372.24			242/237/197		
	Frasnian	382.69			242/237/173		
	Givetian	387.72			241/225/133		
	Eifelian	393.25			241/213/118		
	Emsian	407.57	dotted		229/208/117		
	Pragian	410.78			229/196/104		
	Lochkovian	419.2			229/183/90		
	 	422.96		Base of Pridoli Series coincides with the lowest occurrence of the graptolite species Monograptus parultimus	230/245/225		
	Ludfordian	425.57		"DASH -- Base of Ludfordian is imprecise, but this GSSP may be near base of the Saetograptus leintwardinensis graptolite zone"	217/240/223		
	Gorstian	427.36		DASH -- Base of Ludlow and Gorstian is just below the base of the Neodiversograptus nilssoni graptolite zone (age estimate set as Base of Zone)	204/236/221		
	Homerian	430.45		Base of Homerian coincides with with the base of the Cyrtograptus lundgreni Graptolite Biozone	204/235/209		
	Sheinwoodian	433.35	dashed	"DASHED Imprecise. Base of Wenlock at GSSP is between the base of acritarch biozone 5 and LAD of conodont Pterospathodus amorphognathoides. The current GSSP does not coincide with the base of the Cyrtograptus centrifugus Biozone, as was supposed when the GSSP was defined. Restudy recommends a slightly higher and correlatable level on conodonts -- the Ireviken datum 2, which coincides approximately with the base of the murchisoni Graptolite Biozone (about 0.1 myr higher)."	191/230/195		
		433.46	dashed	DASHED lower possibility = base of centrifugus graptolite zone. 	191/230/195		
	Telychian	438.49	dashed	DASHED (due to no graptolites at GSSP); Base of Telychian (GSSP) is a gap between two brachiopod events (LAD below; FAD above).  Assigned here to base of graptolite Spirograptus guerichi zone.	191/230/207		
	Aeronian	440.77		Base of Aeronian coincides with base of the graptolite Monograptus (now Demirastrites) triangulatus Biozone	179/225/194		
	Rhuddanian	443.83			166/220/181		
	Hirnantian	445.16		Base of Hirnantian coincides with the lowest occurrence of graptolite Normalograptus extraordinarius	166/219/171		
	Katian	452.97		Base of Katian coincides with the lowest occurrence of graptolite Diplacanthograptus caudatus.  The level is very close to the FAD of D. lanceolatus (used in Spline-CONOP12 to estimate age)	153/214/159		
	Sandbian	458.36		Base of Sandbian coincides with the lowest occurrence of the graptolite Nemagraptus gracilis	140/208/148		
	Darriwilian	467.25		Base of Darriwilian coincides with the lowest occurrence of the graptolite Undulograptus austrodentatus	116/198/156		
	Dapingian	469.96		"Base of Dapingian coincides with FAD of conodont Baltoniodus triangularis.  Boundary level is close to the FAD of graptolite, Isograptus victoriae victoriae (used for age assignment; Spline-CONOP12 table)"	102/192/146		
	Floian	477.72		Base of Floian coincides with first appearance of the graptolite Tetragraptus approximatus	65/176/135		
	Tremadocian	485.37		Base of Ordovician coincides with the first appearance of the conodont Iapetognathus fluctivagus	51/169/126		
	Age 10	489.5	dashed	Base is base of the Lotagnostus americanus- Hedinaspis regalis Trilobite Zone	230/245/201		
	Jiangshanian	494		Base of Jiangshanian is base of the Agnostotes orientalis- Irving. angustilimbata Trilobite Zone	217/240/187		
	Paibian	497		Base of the Paibian is base of the G. reticulatus Trilobite Zone.	204/235/174		
	Guzhangian	500.5		Base of the Paibian is base of the Lejopyge laevigata Trilobite Zone.	204/223/170		
	Drumian	504.5		Acidusus atavus FAD.  Age is midway between base of Stage 5 and base of Guzhangian;  both of which are constrained by radiometrics.	191/217/157		
	Age 5	509	dashed	Oryctocephalus indicus FAD.  Supported by 510.7¯Ma age from LIP in Australia that may have triggered the ROECE excursion and mass extinction.	179/212/146		
	Age 4	514	dashed	FAD of trilobite Arithricocephalus chauveaui	179/202/142		
	Age 3	520	dashed	First occurrence of TRILOBITES; rounded from 521 Ma in GTS2012 following advice of Landing et al (2013) to avoid looking precise	166/197/131		
	Age 2	530	dashed	Options of FADs of Small Shelly and of Archaeocyaths; rounded from 529 Ma in GTS2012 following advice of Landing et al (2013) to avoid looking precise	166/186/128		
	Fortunian	541		FAD of trace fossil Tr. pedum	153/181/117		
							
							
							
Substage	block		UNESCO-Named		off		
	TOP	66.04		"Maastrichtian/Paleocene boundary = 66.0 Ma (radiometrics in GTS2012) = C29r.45 (Husson et al.; 2011 from cycles); GTS04 was C29r.5 (Hubbert, but basal Paleogene may have missed a cycle?) = 65.5 Ma.  Was C29r.7 = 65 Ma = age calibration point of Cande and Kent (1995), who didn't have any compensation for K/T condensation."	253/180/98		
	Lt	69.91	dashed	"Not defined.  Uppermost ammonite zone of Early Maastrichtian is Baculites clinolobatus in U.S. western-interior => base of H. birkelundi is base-""Late"".  N. Europe 'Neubergicus/Tridens' zone considered equivalent to Early Maastrichtian substage."	242/250/140		
	E	72.05		"Cobban et al., 2006 ""However, in regard to the sequence at Tercis, France, which has the Global Standard Stratotype Section and Point for the Campanian-Maastrichtian Stage boundary, the base of the Maastrichtian should be placed high in the Baculites eliasi Zone (Walaszczyk et al., 2002). The latter placement of the boundary is accepted ...[NOTE: Their summary table had as Top, hence base of Baculites baculus], although strontium isotope stratigraphy would have it a little lower within the Baculites jenseni Zone (McAuther et al., 1992).""[NOTE: No, Sr would put higher -- see below.]  Odin (2001) considered base-Maastrichtian GSSP to project to near base of N.Amer. B. jenseni ammonite zone.  Cobban's zonation of 1993 had estimated base-Campanian (prior to setting of GSSP) was approximately at base of B. eliasi ammonite zone.  [GTS04: ""The last occurrence of the calcareous nannofossil Quadrum trifidum at the top of belemnite B. obtusa zone in NW Germany has a projected age of 69.9 Ma [=mid-B. grandis N.Amer. ammonite zone], based on strontium-isotope curve calibrations to dated-bentonite sections in the U.S. western interior (McArthur, 1993, 1994).  Therefore, if this highest occurrence of Q. trifidum is synchronous with its position at 16 m above the GSSP at Tercis, then the estimated sediment accumulation rate of 25 m/myr in this Tercis interval indicates that the underling GSSP level is 0.75 myr prior to this age (Odin, 2001), or at approximately 70.6 Ma.  This radiometric age is within the Baculites baculus or overlying Baculites grandis ammonoid zone of the U.S. western interior (McArthur et al., 1993).""] "	242/250/140		
	Lt	76.38	dashed	Base of Late Campanian usage in Western Interior is Didymoceras nebrascense ammonite zone.	230/244/127		
	M	80.64	dashed	Base of Middle Campanian usage in Western Interior is base of Baculites obtusus ammonite zone.	230/244/127		
	E	84.19	dashed	"Base-Campanian is the extinction of crinoid Marsupites testudinarius (provisional boundary marker).  For this scale, we have assumed equivalence with base of S. leei III ammonite Zone of Western Interior."	230/244/127		
	Lt	85.9	dashed	"Base of Late Santonian is Clioscaphites choteauensis ammonite zone in W. interior (Cobban et al., 2006)"	217/239/116		
	M	86.05	dashed	Base of Middle Santonian is Clioscaphites vermiformis ammonite zone in W. interior.	217/239/116		
	E	86.26	dashed	"Base of the Santonian coincides lowest occurrence of Inoceramid bivalve Cladoceramus undulatoplicatus.  Age of base-Santonian is extrapolated as 86.26 ±0.45 Ma by Siewert et al., 2011.  Base-Santonian is lowest occurrence of the widespread inoceramid bivalve Cladoceramus undulatoplicatus.  Following chart in Cobban et al. (2006), this level is equated to the base of the C. saxitonianus ammonite Zone of Western Interior; but Gale (chart to J.Ogg, Aug 2011) based on  (Walaszczyk and Cobban, 2007) projects as uppermost S. depressus Zone; therefore base of Zone was put as 86.2 in GTS2012.  Revised ages (Sageman et al., 2014) for base-C. saxitonianus ash-bed is 85.84 ±0.24; although their summary diagram with cycle-strat implies it is only about 1/4th to 1/3rd of a 405-kyr cycle above base-Santonian 86.5 Ma (inoceramid) => that offset (ca. 0.15myr) is used here.  Cycle-strat duration from base-Santonian to next zone = 0.70 myr (Siewert et al., 2011); but revsied in Sageman et al. (2014) as about 0.3 with assumption that the thickness is expanded by influx of terrigenous."	217/239/116		
	Lt	88.06	dashed	Base of Late Coniacian is Scaphites ventricosus in U.S. western-interior ammonite zonation.	204/233/104		
	M	88.45	dashed	Base of Middle Coniacian is Scaphites ventricosus in U.S. western-interior ammonite zonation.	204/233/104		
	E	89.75	dashed	"The base of the Coniacian Stage is the lowest occurrence of the Cremnoceramus rotundatus (sensu Tr_ger non Fiege) inoceramid bivalve.  In GTS04, this inoceramid datum had been considered to be slightly older (suggested by U. Kaplan, in northern Germany) than the lowest occurrence of ammonite Forresteria petrocoriensis, which had a spline-fit age of 89.07 Ma.  Therefore, the base-Coniacian had been estimated as 89.3 Ma.  However, it is now known from inoceramid-ammonite calibration studies that the onset of the F. petrocoriensis zone (or Foresteria peruuana zone) is in late Turonian, and the Coniacian as defined above begins approximately at the base of the overlying Scaphites preventricosus ammonite zone (age of 88.58 Ma in GTS04; which had been used as the Early/Middle Coniacian boundary level !!).  Other than the inoceramid datum and associated base-Coniacian GSSP age, this correction does not alter any of the assigned ages for any other biostratigraphic or other stratigraphic events.   [NOTE: 88.58 rounds off to 88.6]"	204/233/104		
	Lt	91.39	dashed	Base of Late Turonian is Prionocyclus macombi zone in U.S. western-interior.	191/227/93		
	M	92.9	dashed	Base of Middle Turonian is Collignoniceras woollgari ammonite zone in U.S. western-interior.	191/227/93		
	E	93.9		"The base of the Turonian Stage is at the base of Bed 86 of the Bridge Creek Limestone Member, west of Pueblo, Colorado, USA. The GSSP coincides with the first occurrence of the ammonite Watinoceras devonense, is in the middle of a global positive excursion in carbon 13 isotopes, and is bracketed by widespread bentonites that have yielded age of 93.79 to 93.96 Ma; and cycle-extrapolated as 93.90 ±0.15 myr (Meyers et al., AGU, 2010; and submitted to Geology, 2011).  Cycle-strat duration = 0.35 myr (Meyers et al., EPSL, 2011 in press); contains bentonite dated as 93.79 ±0.26 Ma in upper part of this zone."	191/227/93		
	Lt	95.47	dashed	Basal ammonite stage of Late Cenomanian is Dunveganoceras pondi in U.S. western-interior.	179/222/83		
	M	96.24	dashed	Basal ammonite stage of Middle Cenomanian is Conlinoceras tarrantense in U.S. western-interior; but base of C. inerme in Tethyan scale (a brief Zone lower).	179/222/83		
	E	100.5		"Base-Cenomanian is base of foraminifer Rotalipora globotruncanoides, which is 6m lower than base of M. mantelli ammonite Zone at the GSSP section.  The uppermost part of the N. caractanense Subzone (basal Subzone of Cenomanian) is ~99.8 ±0.37 Ma (Obradovich et al., 2002), and cycle stratigraphy scaling of its duration (0.44 myr) = 100.25 Ma, and a slight 0.25 offset to the GSSP marker below implies the base of the Cenomanian is 100.5 ±0.4 Ma."	179/222/83		
	Lt	107.59	dashed	"Basal ammonite stage of Late Albian is Mortoniceras inflatum in England, and Base of Diploceras cristatum ammonite zone in West Mediterranean province"	204/234/151		
	M	110.22	dashed	Base of Hoplites dentatus ammonite zone in England and West Mediterranean provinces	204/234/151		
	E	113.14	dashed	"Current GSSP proposal (Kennedy et al., 2014) is FAD of planktonic foraminifer Microhedbergella renilaevis in middle of Kilian organic-rich layer in SE France and associated negative excursion in C13.  Working definition for GTS2012 was the first appearance datum (FAD) of Praediscosphaera columnata (subcircular) following usage in Piobbico core and U-Pb dated (113 Ma) event in Boreal realm (Germany).   GSSP not yet decided."	204/234/151		
	Lt	122.98		"Base of Epicheloniceras  martini ammonite zone (Kilian group, 2011, who urged that use of French Bedoulian/Gargasian be discouraged."	191/228/138		
	E	126.3		Current working definition for Base of Aptian is base of polarity chron M0r	191/228/138		
	Lt	129.41	dashed	"Base of Late Barremian was base of 'Emiriceras' barremense zone in south-east France; but revised ammonite zonation implies that this is middle of Ancyloceras vandenheckii zone; therefore, the base of Ancyloceras vandenheckii is used here for ""Base of Late Barremian"""	179/223/127		
	E	130.77		Base of Barremian (base of Spitidiscus hugii ammonite zone) assigned here as Chron M5n(0.8)	179/223/127		
	Lt	133.48		"Base of Subsaynella sayni ammonite zone in Tethyan zonation; but other more global events (e.g., a nannofossil) are being considered."	166/217/117		
	E	134.69		"The base of the Hauterivian (base of Acanthodiscus radiatus ammonite zone of Tethyan realm) is considered to be near the beginning of chron M10n (e.g., Weissert and others), as supported by later studies (e.g, McArthur et al., 2007, Palaeo-3), and consistent with the cycle-scaled duration of the Valanginian.  Assigned as base M10n.  In GTS04, the base of the Hauterivian Stage has been assigned, based on the reported occurrence of its earliest ammonites, to near the beginning of magnetic polarity chron M11n (Channell et al., 1995, EPSL).  However, the GTS04 authors and reviewers were not aware that this published correlation had been revised.  In GTS04; the Base of Hauterivian was assigned as base of Chron M11n.  Earlier version -- Valanginian/Hauterivian boundary is within M10Nr or within the adjacent normal-polarity chrons; tentatively assigned to middle of M10Nr."	166/217/117		
	Lt	137.64		Base of Saynoceras verrucosum ammonite zone	153/211/106		
